"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","14203","神奈川県","平塚市","明石町","平塚","9",13000000,"","","50",,"ほぼ長方形","5.0","80","昭和61年","木造","住宅、店舗","店舗","北","市道",6.0,"商業地域",80,400,"2020年第４四半期","",""
2,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","9",23000000,"","３ＬＤＫ","65",,"","","","平成13年","ＳＲＣ","","","","",,"商業地域",80,500,"2020年第４四半期","改装済",""
3,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","6",9000000,"","３ＬＤＫ","55",,"","","","平成4年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
4,"宅地(土地と建物)","商業地","14203","神奈川県","平塚市","明石町","平塚","8",51000000,"","","180",,"ほぼ長方形","8.0","55","平成20年","木造","事務所","事務所","南","市道",6.0,"商業地域",80,400,"2020年第３四半期","",""
5,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","9",15000000,"","２ＬＤＫ","60",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
6,"宅地(土地と建物)","商業地","14203","神奈川県","平塚市","明石町","平塚","6",55000000,"","","250",,"不整形","9.0","870","平成14年","ＲＣ","共同住宅、駐車場、店舗","事務所","南","市道",8.0,"商業地域",80,400,"2020年第２四半期","","関係者間取引"
7,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","7",33000000,"","３ＬＤＫ","85",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第４四半期","未改装",""
8,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","9",18000000,"","２ＬＤＫ","50",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","改装済",""
9,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","9",22000000,"","３ＬＤＫ","65",,"","","","平成13年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2019年第３四半期","未改装",""
10,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","6",17000000,"","１ＬＤＫ","55",,"","","","平成3年","ＳＲＣ","住宅","","","",,"商業地域",80,600,"2019年第３四半期","改装済",""
11,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","7",15000000,"","３ＬＤＫ","60",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第３四半期","未改装",""
12,"宅地(土地と建物)","商業地","14203","神奈川県","平塚市","明石町","平塚","6",190000000,"","","460",,"ほぼ長方形","15.0","","","","","住宅","東","市道",36.0,"商業地域",80,600,"2019年第２四半期","",""
13,"宅地(土地と建物)","商業地","14203","神奈川県","平塚市","明石町","平塚","4",24000000,"","","50",,"ほぼ長方形","5.0","105","平成9年","鉄骨造","住宅、店舗","住宅","南","市道",9.0,"商業地域",80,400,"2019年第２四半期","",""
14,"宅地(土地)","商業地","14203","神奈川県","平塚市","明石町","平塚","10",31000000,"780000","","130",230000,"長方形","10.5","","","","","その他","南","市道",6.0,"商業地域",80,400,"2019年第２四半期","",""
15,"中古マンション等","","14203","神奈川県","平塚市","明石町","平塚","9",32000000,"","３ＬＤＫ","70",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第２四半期","改装済",""
