"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","入谷(神奈川)","3",600000,"7700","","260",2300,"ほぼ長方形","17.0","","","","","","北西","農道",2.0,"市街化調整区域",50,100,"2017年第１四半期","",""
2,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","15",21000000,"470000","","145",140000,"長方形","9.9","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14216","神奈川県","座間市","入谷西","座間","18",30000000,"","","115",,"ほぼ長方形","14.0","100","令和2年","木造","住宅","住宅","北西","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","9",23000000,"540000","","140",160000,"ほぼ台形","","","","","","住宅","東","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
5,"中古マンション等","","14216","神奈川県","座間市","入谷西","座間","4",3000000,"","１Ｋ","20",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14216","神奈川県","座間市","入谷西","座間","11",32000000,"","","115",,"正方形","11.0","100","令和2年","木造","住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","15",19000000,"570000","","110",170000,"ほぼ正方形","11.0","","","","","住宅","南","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
8,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","15",19000000,"570000","","110",170000,"正方形","11.0","","","","","住宅","南","私道",4.5,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","12",19000000,"440000","","145",130000,"長方形","10.0","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","14216","神奈川県","座間市","入谷西","座間","6",33000000,"","","105",,"ほぼ正方形","10.0","95","令和2年","木造","住宅","住宅","北東","市道",9.0,"第１種住居地域",60,200,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","18",14000000,"410000","","110",120000,"正方形","10.0","","","","","住宅","北西","市道",3.6,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
12,"宅地(土地と建物)","住宅地","14216","神奈川県","座間市","入谷西","座間","15",43000000,"","","125",,"長方形","7.8","115","令和3年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
13,"宅地(土地)","住宅地","14216","神奈川県","座間市","入谷西","座間","14",19000000,"520000","","120",160000,"ほぼ長方形","8.0","","","","","住宅","南西","市道",4.5,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
