"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","鎌倉","1H?1H30",75000000,"","","290",,"長方形","21.5","100","昭和33年","木造","住宅、倉庫","住宅","北東","市道",3.6,"市街化調整区域",40,80,"2016年第４四半期","",""
2,"宅地(土地)","住宅地","14201","神奈川県","横須賀市","秋谷","衣笠","1H?1H30",20000000,"530000","","125",160000,"長方形","12.0","","","","","住宅","南西","市道",5.0,"第２種中高層住居専用地域",60,200,"2019年第１四半期","",""
3,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","衣笠","1H?1H30",72000000,"","","2000㎡以上",,"不整形","50.0m以上","280","平成12年","木造","共同住宅","その他","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
4,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","逗子","1H?1H30",61000000,"","","580",,"不整形","16.7","115","昭和55年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",7600000,"","","165",,"不整形","27.0","55","平成26年","木造","事務所、店舗","店舗","南東","市道",4.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","調停・競売等"
6,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","逗子","1H?1H30",39000000,"","","175",,"ほぼ長方形","16.5","85","平成17年","木造","住宅","","北西","市道",2.8,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",30000000,"","","330",,"不整形","19.0","120","昭和44年","ＲＣ","住宅","","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"中古マンション等","","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",47000000,"","２ＬＤＫ","80",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
9,"中古マンション等","","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",30000000,"","１ＬＤＫ","55",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
10,"中古マンション等","","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",4500000,"","１Ｋ","15",,"","","","平成5年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
11,"中古マンション等","","14201","神奈川県","横須賀市","秋谷","逗子","1H?1H30",24000000,"","２ＬＤＫ","75",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
12,"中古マンション等","","14201","神奈川県","横須賀市","秋谷","逗子","1H30?2H",16000000,"","３ＬＤＫ","85",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
