"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","泉","海老名","16",25000000,"","","180",,"長方形","9.1","135","平成10年","","","住宅","南西","私道",4.0,"工業地域",60,200,"2020年第４四半期","",""
2,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","13",40000000,"","３ＬＤＫ","65",,"","","","平成30年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第４四半期","未改装",""
3,"宅地(土地)","住宅地","14215","神奈川県","海老名市","泉","海老名","10",18000000,"930000","","65",280000,"ほぼ正方形","8.2","","","","","その他","南東","市道",4.0,"工業地域",60,200,"2020年第１四半期","",""
4,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","13",40000000,"","３ＬＤＫ","65",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第１四半期","未改装",""
5,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","泉","海老名","4",25000000,"","","80",,"長方形","9.6","80","昭和53年","木造","住宅","住宅","南西","市道",16.0,"工業地域",60,200,"2019年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","泉","海老名","6",20000000,"","","80",,"長方形","6.7","75","昭和50年","木造","住宅","住宅","南東","私道",4.5,"工業地域",60,200,"2019年第４四半期","",""
7,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","11",33000000,"","２ＬＤＫ","80",,"","","","平成29年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
8,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","泉","海老名","10",55000000,"","","120",,"袋地等","2.3","95","平成20年","木造","住宅","住宅","北東","私道",4.5,"工業地域",60,200,"2019年第１四半期","",""
9,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","13",31000000,"","３ＬＤＫ","70",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第１四半期","",""
10,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","13",37000000,"","３ＬＤＫ","75",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第２四半期","",""
11,"宅地(土地と建物)","工業地","14215","神奈川県","海老名市","泉","海老名","11",5000000000,"","","2000㎡以上",,"ほぼ長方形","50.0m以上","","昭和56年","","工場","店舗","東","市道",20.0,"工業地域",60,200,"2018年第１四半期","",""
12,"中古マンション等","","14215","神奈川県","海老名市","泉","海老名","11",30000000,"","３ＬＤＫ","75",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第２四半期","未改装",""
13,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","厚木","29",100000000,"250000","","1300",75000,"長方形","17.3","","","","","","南","市道",8.0,"第１種住居地域",60,200,"2017年第１四半期","",""
14,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",32000000,"","","105",,"ほぼ長方形","7.6","100","令和2年","木造","住宅","住宅","北","市道",4.7,"準工業地域",60,200,"2020年第３四半期","",""
15,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",28000000,"","","105",,"長方形","7.6","100","令和2年","","","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",27000000,"","","110",,"ほぼ長方形","7.6","100","令和2年","木造","住宅","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第３四半期","",""
17,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",19000000,"580000","","110",180000,"長方形","7.6","","","","","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第３四半期","",""
18,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",30000000,"","","105",,"長方形","7.6","100","令和2年","木造","住宅","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",33000000,"","","100",,"ほぼ長方形","6.7","95","令和2年","木造","住宅","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第３四半期","",""
20,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",52000000,"380000","","450",120000,"ほぼ長方形","43.0","","","","","","西","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
21,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",36000000,"","","115",,"ほぼ長方形","7.9","100","令和2年","木造","住宅","住宅","北","市道",8.5,"準工業地域",60,200,"2020年第１四半期","",""
22,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",35000000,"360000","","330",110000,"ほぼ長方形","","","","","","","南西","市道",5.0,"第１種住居地域",60,200,"2020年第１四半期","",""
23,"宅地(土地と建物)","商業地","14215","神奈川県","海老名市","今里","海老名","30分?60分",120000000,"","","810",,"ほぼ整形","24.0","730","平成4年","鉄骨造","共同住宅、店舗","住宅","西","県道",10.8,"準工業地域",60,200,"2019年第４四半期","",""
24,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",35000000,"","","100",,"台形","9.9","95","平成31年","木造","住宅","住宅","東","私道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
25,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",17000000,"490000","","115",150000,"ほぼ整形","10.0","","","","","住宅","南西","市道",4.5,"第１種住居地域",60,200,"2019年第１四半期","",""
26,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",35000000,"","","110",,"ほぼ正方形","10.8","95","平成30年","木造","住宅","住宅","西","私道",4.0,"第１種住居地域",60,200,"2018年第３四半期","",""
27,"宅地(土地)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",16000000,"390000","","135",120000,"袋地等","2.7","","","","","その他","南西","市道",5.0,"第１種住居地域",80,200,"2018年第３四半期","",""
28,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",10000000,"","","75",,"ほぼ台形","7.4","65","昭和61年","木造","住宅","その他","北","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
29,"宅地(土地と建物)","住宅地","14215","神奈川県","海老名市","今里","海老名","30分?60分",43000000,"","","120",,"ほぼ長方形","12.4","105","平成30年","木造","住宅","住宅","西","市道",4.0,"第１種住居地域",60,200,"2018年第２四半期","",""
