"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","18",16000000,"","","105",,"ほぼ長方形","","80","昭和45年","木造","住宅","住宅","東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","15",25000000,"730000","","110",220000,"ほぼ長方形","8.7","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","15",24000000,"790000","","100",240000,"ほぼ長方形","13.0","","","","","住宅","南西","市道",11.0,"第１種住居地域",60,200,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","17",39000000,"","","120",,"ほぼ長方形","6.6","100","令和2年","木造","住宅","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
5,"宅地(土地)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","18",25000000,"750000","","110",230000,"ほぼ台形","7.7","","","","","その他","南東","市道",6.0,"第１種住居地域",60,200,"2020年第２四半期","",""
6,"宅地(土地と建物)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","12",53000000,"","","230",,"ほぼ長方形","11.0","","","","","事務所","南東","県道",15.0,"第２種住居地域",60,200,"2020年第１四半期","",""
7,"中古マンション等","","14152","神奈川県","相模原市中央区","相生","淵野辺","13",3200000,"","１Ｋ","15",,"","","","昭和63年","","","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","",""
8,"宅地(土地と建物)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","15",28000000,"","","75",,"ほぼ長方形","5.3","80","平成31年","木造","住宅","住宅","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
9,"宅地(土地)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","15",18000000,"530000","","110",160000,"ほぼ長方形","8.7","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2019年第４四半期","",""
10,"宅地(土地)","住宅地","14152","神奈川県","相模原市中央区","相生","淵野辺","14",23000000,"520000","","145",160000,"長方形","10.9","","","","","住宅","北東","市道",4.0,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
11,"宅地(土地と建物)","商業地","14152","神奈川県","相模原市中央区","相生","淵野辺","11",41000000,"","","230",,"長方形","11.0","145","昭和40年","木造","住宅、店舗","住宅","南東","県道",15.0,"第２種住居地域",60,200,"2019年第２四半期","",""
