"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14153","神奈川県","相模原市南区","旭町","小田急相模原","16",79000000,"","","210",,"ほぼ長方形","15.0","310","昭和64年","ＲＣ","共同住宅","住宅","西","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","15",18000000,"","２ＬＤＫ","40",,"","","","昭和62年","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2019年第４四半期","改装済",""
3,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","15",10000000,"","","45",,"","","","昭和62年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
4,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","15",13000000,"","３ＬＤＫ","60",,"","","","昭和62年","ＲＣ","","その他","","",,"第１種住居地域",60,200,"2018年第４四半期","未改装",""
5,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","15",27000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","未改装",""
6,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","16",25000000,"","４ＬＤＫ","80",,"","","","平成14年","","","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
7,"中古マンション等","","14153","神奈川県","相模原市南区","旭町","小田急相模原","19",16000000,"","２ＬＤＫ＋Ｓ","65",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","改装済",""
8,"宅地(土地と建物)","住宅地","14153","神奈川県","相模原市南区","旭町","小田急相模原","18",44000000,"","","230",,"ほぼ長方形","10.8","270","平成2年","木造","共同住宅","事務所","北東","市道",4.0,"第１種住居地域",60,200,"2017年第２四半期","",""
9,"宅地(土地)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","18",60000000,"870000","","230",260000,"長方形","10.0","","","","","その他","北東","私道",4.0,"第１種住居地域",60,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","15",31000000,"","","65",,"長方形","4.8","90","平成31年","木造","住宅","住宅","南西","市道",12.0,"第１種住居地域",60,200,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","14",42000000,"690000","","200",210000,"ほぼ台形","14.0","","","","","住宅","北西","市道",4.4,"第１種住居地域",60,200,"2020年第３四半期","",""
12,"宅地(土地)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","11",33000000,"980000","","110",300000,"ほぼ長方形","7.0","","","","","住宅","北西","市道",3.6,"第１種住居地域",60,200,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","16",37000000,"","","80",,"正方形","9.0","85","平成31年","木造","住宅","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2020年第１四半期","",""
14,"宅地(土地と建物)","住宅地","14153","神奈川県","相模原市南区","旭町","相模大野","13",53000000,"","","120",,"台形","7.4","130","令和2年","木造","共同住宅","住宅","東","市道",7.6,"第１種住居地域",60,200,"2020年第１四半期","",""
