"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","渋沢","7",13000000,"450000","","95",140000,"長方形","8.0","","","","","その他","南西","市道",2.2,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
2,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","15",18000000,"450000","","135",140000,"ほぼ長方形","12.0","","","","","住宅","南西","私道",4.2,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","14",32000000,"","","165",,"ほぼ台形","11.1","125","平成22年","軽量鉄骨造","住宅","住宅","東","市道",4.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","13",15000000,"400000","","120",120000,"ほぼ長方形","5.0","","","","","住宅","北東","市道",4.5,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","15",21000000,"","","110",,"ほぼ長方形","9.8","95","平成20年","木造","住宅","住宅","西","市道",4.5,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","19",27000000,"","","130",,"ほぼ整形","9.6","100","令和2年","木造","住宅","住宅","北西","市道",4.5,"第２種住居地域",60,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","20",23000000,"","","130",,"ほぼ長方形","3.8","95","令和2年","木造","住宅","住宅","北西","市道",4.5,"第２種住居地域",60,200,"2020年第３四半期","",""
8,"中古マンション等","","14211","神奈川県","秦野市","今泉","秦野","9",13000000,"","２ＬＤＫ","60",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
9,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","16",30000000,"","","135",,"ほぼ整形","4.0","110","令和2年","","","住宅","北","市道",4.5,"第１種中高層住居専用地域",60,200,"2020年第２四半期","",""
10,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","19",8500000,"","","165",,"ほぼ長方形","9.7","110","昭和51年","木造","住宅","その他","東","市道",4.8,"第１種低層住居専用地域",50,100,"2020年第１四半期","",""
11,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","25",29000000,"","","120",,"不整形","8.5","100","平成31年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2019年第４四半期","",""
12,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","26",35000000,"","","135",,"長方形","10.0","110","平成31年","木造","住宅","住宅","南西","市道",5.5,"第１種低層住居専用地域",50,100,"2019年第３四半期","",""
13,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","8",21000000,"400000","","170",120000,"長方形","8.0","","","","","住宅","北","市道",4.5,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
14,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","12",18000000,"200000","","300",60000,"ほぼ整形","13.0","","","","","住宅","南","市道",4.5,"第１種中高層住居専用地域",60,200,"2019年第２四半期","",""
15,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","23",11000000,"250000","","145",77000,"ほぼ長方形","12.0","","","","","住宅","南","市道",4.2,"第２種住居地域",60,200,"2019年第２四半期","",""
16,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","6",1500000,"17000","","300",5000,"ほぼ台形","15.6","","","","","","接面道路無","",,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
17,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","6",21000000,"430000","","165",130000,"ほぼ台形","12.0","","","","","","西","市道",3.0,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
18,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","6",1900000,"17000","","350",5300,"台形","18.0","","","","","","接面道路無","",,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
19,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","6",1400000,"14000","","320",4300,"不整形","27.0","","","","","","接面道路無","",,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
20,"宅地(土地と建物)","住宅地","14211","神奈川県","秦野市","今泉","秦野","10",27000000,"","","130",,"ほぼ長方形","10.0","100","平成31年","木造","住宅","住宅","西","市道",4.8,"第１種低層住居専用地域",50,100,"2019年第１四半期","",""
21,"宅地(土地)","住宅地","14211","神奈川県","秦野市","今泉","秦野","12",16000000,"240000","","220",74000,"袋地等","5.3","","","","","住宅","西","市道",4.0,"第１種低層住居専用地域",50,100,"2018年第４四半期","",""
