"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","香川(神奈川)","30分?60分",32000000,"","","110",,"台形","12.1","95","令和2年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","北茅ケ崎","19",6600000,"84000","","260",26000,"ほぼ台形","14.8","","","","","その他","接面道路無","",,"第１種住居地域",60,200,"2020年第４四半期","","調停・競売等"
3,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","北茅ケ崎","23",20000000,"","","100",,"ほぼ長方形","7.7","85","平成24年","木造","住宅","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2017年第１四半期","",""
4,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",27000000,"","","100",,"袋地等","2.6","85","令和2年","木造","住宅","住宅","西","私道",4.2,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",25000000,"","","120",,"長方形","9.7","115","平成9年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",28000000,"","","105",,"不整形","12.0","90","令和2年","木造","住宅","住宅","北","私道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",35000000,"","","175",,"不整形","8.5","160","令和2年","木造","共同住宅","住宅","南","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",24000000,"","","100",,"ほぼ台形","10.0","100","平成10年","木造","","住宅","西","市道",5.7,"第１種住居地域",60,200,"2020年第３四半期","",""
9,"中古マンション等","","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","24",20000000,"","３ＬＤＫ","70",,"","","","平成17年","","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","改装済",""
10,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",23000000,"","","100",,"ほぼ整形","11.7","95","平成22年","木造","住宅","住宅","南","国道",40.0,"第１種住居地域",60,200,"2020年第１四半期","",""
11,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",26000000,"","","110",,"ほぼ台形","9.4","95","平成16年","木造","住宅","住宅","西","市道",4.5,"第１種住居地域",60,200,"2019年第４四半期","",""
12,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",15000000,"","","120",,"長方形","9.6","115","平成9年","木造","住宅","住宅","南西","私道",4.7,"第１種中高層住居専用地域",60,200,"2019年第４四半期","",""
13,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",25000000,"","","100",,"長方形","8.0","85","平成9年","木造","住宅","住宅","南東","市道",4.0,"第１種住居地域",60,200,"2019年第３四半期","",""
14,"宅地(土地と建物)","住宅地","14207","神奈川県","茅ヶ崎市","赤羽根","茅ケ崎","30分?60分",32000000,"","","115",,"ほぼ長方形","8.5","100","平成30年","木造","住宅","住宅","西","市道",4.5,"第１種住居地域",60,200,"2019年第２四半期","",""
