"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14205","神奈川県","藤沢市","朝日町","藤沢","9",45000000,"1100000","","130",350000,"ほぼ台形","12.3","","","","","住宅","東","市道",5.1,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"宅地(土地)","住宅地","14205","神奈川県","藤沢市","朝日町","藤沢","9",55000000,"930000","","195",280000,"ほぼ台形","19.5","","","","","住宅","東","市道",5.1,"第１種住居地域",60,200,"2020年第２四半期","",""
3,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","朝日町","藤沢","8",58000000,"","","70",,"長方形","5.5","105","平成31年","木造","住宅","住宅","南","市道",6.0,"第１種住居地域",60,200,"2019年第３四半期","",""
4,"宅地(土地)","住宅地","14205","神奈川県","藤沢市","朝日町","藤沢","8",66000000,"1600000","","140",470000,"長方形","10.9","","","","","","南","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
5,"中古マンション等","","14205","神奈川県","藤沢市","朝日町","藤沢","6",44000000,"","３ＬＤＫ","65",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第１四半期","未改装",""
6,"中古マンション等","","14205","神奈川県","藤沢市","朝日町","藤沢","6",44000000,"","３ＬＤＫ","65",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2016年第３四半期","未改装",""
7,"宅地(土地)","住宅地","14205","神奈川県","藤沢市","朝日町","藤沢","7",150000000,"1200000","","420",350000,"長方形","15.9","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2016年第１四半期","",""
8,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",36000000,"","","90",,"ほぼ台形","10.0","95","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",27000000,"","","100",,"不整形","2.5","80","平成20年","木造","住宅","住宅","西","市道",12.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
10,"宅地(土地)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",180000000,"460000","","1300",140000,"ほぼ正方形","34.0","","","","","","北東","市道",8.0,"第１種住居地域",60,200,"2020年第４四半期","",""
11,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",80000000,"","","730",,"ほぼ正方形","24.0","520","平成6年","木造","共同住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
12,"宅地(土地と建物)","商業地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",44000000,"","","130",,"ほぼ長方形","9.7","150","平成18年","木造","住宅","住宅","西","県道",26.0,"準住居地域",60,200,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",15000000,"","","100",,"ほぼ長方形","6.0","115","平成5年","木造","住宅","その他","東","市道",5.0,"第１種住居地域",60,200,"2020年第４四半期","",""
14,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",36000000,"","","250",,"ほぼ長方形","","115","平成14年","木造","住宅","住宅","東","私道",4.0,"第１種住居地域",60,200,"2020年第４四半期","","私道を含む取引"
15,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","28",6100000,"","２ＬＤＫ","55",,"","","","平成6年","ＲＣ","","その他","","",,"準工業地域",60,200,"2020年第４四半期","",""
16,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",20000000,"","３ＬＤＫ","65",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
17,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","28",12000000,"","","65",,"","","","平成7年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2020年第４四半期","未改装",""
18,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","24",13000000,"","２ＬＤＫ","60",,"","","","平成7年","ＲＣ","","その他","","",,"準工業地域",60,200,"2020年第４四半期","",""
19,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",26000000,"","","115",,"不整形","3.2","90","平成31年","木造","住宅","住宅","北東","市道",5.0,"第１種住居地域",60,200,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",42000000,"","","120",,"長方形","7.5","95","令和2年","木造","住宅","","北","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
21,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",27000000,"","","100",,"長方形","8.0","95","平成16年","木造","住宅","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
22,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",32000000,"","","130",,"不整形","2.5","95","令和2年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
23,"宅地(土地と建物)","商業地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",160000000,"","","990",,"ほぼ長方形","27.2","195","平成25年","軽量鉄骨造","店舗","店舗","西","市道",25.0,"第２種住居地域",60,200,"2020年第３四半期","",""
24,"宅地(土地と建物)","住宅地","14205","神奈川県","藤沢市","石川","湘南台","30分?60分",26000000,"","","120",,"ほぼ長方形","6.0","95","平成5年","木造","住宅","住宅","北東","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
25,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","25",18000000,"","３ＬＤＫ","75",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
26,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","28",17000000,"","３ＬＤＫ","65",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
27,"中古マンション等","","14205","神奈川県","藤沢市","石川","湘南台","28",6100000,"","２ＬＤＫ","55",,"","","","平成6年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第３四半期","未改装",""
