"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","14208","神奈川県","逗子市","池子","神武寺","12",66000000,"630000","","350",190000,"ほぼ台形","18.8","","","","","","南","市道",4.4,"市街化調整区域",50,100,"2020年第４四半期","",""
2,"中古マンション等","","14208","神奈川県","逗子市","池子","神武寺","10",2000000,"","２ＬＤＫ","55",,"","","","昭和46年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
3,"中古マンション等","","14208","神奈川県","逗子市","池子","神武寺","7",4500000,"","３ＤＫ","55",,"","","","昭和44年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
4,"宅地(土地と建物)","住宅地","14208","神奈川県","逗子市","池子","神武寺","8",18000000,"","","140",,"ほぼ台形","7.2","95","昭和50年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
5,"中古マンション等","","14208","神奈川県","逗子市","池子","神武寺","13",14000000,"","３ＤＫ","70",,"","","","昭和49年","ＲＣ","住宅","住宅","","",,"第２種低層住居専用地域",60,200,"2020年第３四半期","改装済",""
6,"中古マンション等","","14208","神奈川県","逗子市","池子","神武寺","6",23000000,"","３ＬＤＫ","75",,"","","","平成18年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
7,"中古マンション等","","14208","神奈川県","逗子市","池子","神武寺","7",5700000,"","２ＬＤＫ","55",,"","","","昭和48年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
8,"宅地(土地)","住宅地","14208","神奈川県","逗子市","池子","神武寺","12",21000000,"400000","","170",120000,"ほぼ長方形","11.8","","","","","住宅","南西","市道",4.2,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
9,"宅地(土地と建物)","住宅地","14208","神奈川県","逗子市","池子","神武寺","7",3500000,"","","35",,"不整形","1.9","","","","","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2020年第２四半期","",""
10,"宅地(土地と建物)","住宅地","14208","神奈川県","逗子市","池子","神武寺","11",22000000,"","","180",,"ほぼ長方形","11.7","125","昭和45年","木造","住宅","住宅","北東","市道",4.2,"第１種低層住居専用地域",50,100,"2020年第２四半期","",""
