"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","商業地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","2",210000000,"2300000","","310",680000,"ほぼ台形","15.0","","","","","その他","南","国道",12.0,"第１種中高層住居専用地域",60,150,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","6",3300000,"210000","","50",65000,"不整形","1.8","","","","","住宅","東","市道",3.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","4",29000000,"570000","","165",170000,"ほぼ長方形","9.5","","","","","住宅","北東","市道",3.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
4,"宅地(土地)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","8",33000000,"570000","","190",170000,"ほぼ長方形","15.0","","","","","","東","市道",3.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","8",52000000,"","","175",,"ほぼ長方形","7.5","115","平成23年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
6,"宅地(土地)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","8",43000000,"530000","","270",160000,"ほぼ整形","15.0","","","","","住宅","東","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","4",35000000,"","","145",,"不整形","3.5","95","平成9年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第２四半期","",""
8,"宅地(土地)","商業地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","3",210000000,"2000000","","350",600000,"ほぼ整形","24.0","","","","","住宅","南","国道",15.0,"第１種中高層住居専用地域",40,100,"2020年第２四半期","",""
9,"宅地(土地)","商業地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","3",180000000,"3000000","","200",900000,"ほぼ長方形","17.0","","","","","その他","南","国道",15.0,"第１種中高層住居専用地域",40,100,"2020年第２四半期","",""
10,"宅地(土地)","住宅地","14204","神奈川県","鎌倉市","稲村ガ崎","稲村ケ崎","4",36000000,"720000","","165",220000,"不整形","15.0","","","","","住宅","東","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第１四半期","",""
